"hc_type","best_alpha_inf","best_slope_inf","stability_range_inf","best_alpha_ratio","best_slope_ratio"
"HC2",0.5,0.000907043517952096,0.0964034423555136,0.5,-0.00223095202792635
"HC1",0.5,0.0187791451788297,0.325523943841758,0.5,-0.00409902554368232
"HC3",0.55,0.024403856260414,0.539873369072911,0.5,-0.000144331089971803
